backslash;0.2.1
chalk-template;1.1.1
supports-hyperlinks;4.1.1
has-ansi;6.0.1
simple-swizzle;0.2.3
color-string;2.1.1
error-ex;1.3.3
color-name;2.0.1
is-arrayish;0.3.3
slice-ansi;7.1.1
color-convert;3.1.1
wrap-ansi;9.0.1
ansi-regex;6.2.1
supports-color;10.2.1
strip-ansi;7.1.1
chalk;5.6.1
debug;4.4.0
ansi-styles;6.2.2
nx;20.9.0
nx;20.10.0
nx;20.11.0
nx;20.12.0
nx;21.5.0
nx;21.6.0
nx;21.7.0
nx;21.8.0
@nx/enterprise-cloud;3.2.0
@nx/devkit;20.9.0
@nx/devkit;21.5.0
@nx/workspace;21.5.0
@nx/js;21.5.0
@nx/eslint;21.5.0
@nx/key;3.2.0
@nx/node;21.5.0
@nx/node;20.9.0
